index,player_name,salary,age,games_played,minutes_played,field_goal_percent,three_point_percent,two_point_percent,effective_field_goal,free_throw_percent,total_rebounds,assist,steal,blocking,points
47,Kentavious Caldwell-Pope,17745894,24,74.00,2458.00,0.43,0.38,0.47,0.53,0.79,387.00,162.00,106.00,16.00,992.00
48,Evan Turner,17131148,29,79.00,2034.00,0.45,0.32,0.49,0.48,0.85,244.00,173.00,47.00,29.00,649.00
49,Goran Dragic,17000450,31,75.00,2378.00,0.45,0.37,0.48,0.50,0.80,307.00,359.00,63.00,12.00,1296.00
50,Evan Fournier,17000000,25,57.00,1837.00,0.46,0.38,0.52,0.54,0.87,180.00,165.00,47.00,16.00,1013.00
51,Bismack Biyombo,17000000,25,82.00,1495.00,0.52,0.00,0.52,0.52,0.65,468.00,66.00,21.00,95.00,468.00
52,Kent Bazemore,16910113,28,65.00,1789.00,0.42,0.39,0.44,0.50,0.80,248.00,228.00,100.00,45.00,836.00
53,Robert Covington,16698103,27,80.00,2532.00,0.41,0.37,0.50,0.53,0.85,433.00,156.00,137.00,72.00,1009.00
54,Ian Mahinmi,16661641,31,77.00,1145.00,0.56,0.00,0.56,0.56,0.70,312.00,53.00,38.00,42.00,366.00
55,Tim Hardaway,16500000,25,57.00,1885.00,0.42,0.32,0.52,0.50,0.82,224.00,155.00,62.00,10.00,996.00
56,Draymond Green,16400000,27,70.00,2287.00,0.45,0.30,0.56,0.52,0.78,535.00,508.00,95.00,91.00,773.00
57,Reggie Jackson,16000000,27,45.00,1201.00,0.43,0.31,0.48,0.47,0.84,125.00,238.00,27.00,4.00,656.00
58,Pau Gasol,16000000,37,77.00,1812.00,0.46,0.36,0.48,0.49,0.76,619.00,238.00,24.00,79.00,775.00
59,Tobias Harris,16000000,25,53.33,1778.67,0.46,0.41,0.49,0.54,0.83,291.33,128.00,47.33,23.33,990.67
60,Dwyane Wade,15550000,36,44.67,1024.00,0.43,0.28,0.46,0.46,0.72,168.00,152.00,40.67,31.33,510.00
61,Dwyane Wade,2328652,36,44.67,1024.00,0.43,0.28,0.46,0.46,0.72,168.00,152.00,40.67,31.33,510.00
62,Dennis Schroder,15500000,24,67.00,2078.00,0.44,0.29,0.48,0.47,0.85,208.00,417.00,72.00,6.00,1301.00
