index,player_name,salary,age,games_played,minutes_played,field_goal_percent,three_point_percent,two_point_percent,effective_field_goal,free_throw_percent,total_rebounds,assist,steal,blocking,points
196,Alex Len,4187599,24,69.00,1395.00,0.57,0.33,0.57,0.57,0.68,518.00,82.00,27.00,61.00,587.00
197,Nerlens Noel,4187599,23,30.00,472.00,0.52,0.00,0.53,0.52,0.75,168.00,20.00,31.00,22.00,131.00
198,Jonathan Isaac,4186320,20,27.00,536.00,0.38,0.35,0.39,0.43,0.76,99.00,18.00,33.00,30.00,145.00
199,Lance Stephenson,4180000,27,82.00,1850.00,0.43,0.29,0.50,0.48,0.66,424.00,235.00,46.00,17.00,757.00
200,Julius Randle,4149242,23,82.00,2190.00,0.56,0.22,0.58,0.56,0.72,654.00,210.00,43.00,45.00,1323.00
201,Kyle O'Quinn,4087500,27,77.00,1387.00,0.58,0.24,0.60,0.59,0.77,470.00,158.00,36.00,98.00,550.00
202,Mario Hezonja,4078320,22,75.00,1657.00,0.44,0.34,0.52,0.52,0.82,281.00,106.00,81.00,31.00,722.00
203,Kris Dunn,4046760,23,52.00,1525.00,0.43,0.32,0.46,0.46,0.74,221.00,310.00,104.00,27.00,699.00
204,Jonas Jerebko,4000000,30,74.00,1134.00,0.47,0.41,0.51,0.56,0.81,246.00,42.00,24.00,12.00,429.00
205,Nemanja Bjelica,3949999,29,67.00,1371.00,0.46,0.42,0.51,0.56,0.80,274.00,86.00,50.00,16.00,454.00
206,J.J. Barea,3903900,33,69.00,1603.00,0.44,0.37,0.50,0.52,0.78,201.00,434.00,35.00,3.00,801.00
207,Quincy Pondexter,3853931,29,23.00,196.00,0.29,0.14,0.41,0.32,0.82,27.00,9.00,8.00,2.00,45.00
208,Lauri Markkanen,3821640,20,68.00,2020.00,0.43,0.36,0.50,0.52,0.84,508.00,79.00,39.00,40.00,1033.00
209,Nik Stauskas,3807146,24,27.33,348.67,0.34,0.27,0.36,0.43,0.81,42.67,26.00,6.00,2.67,120.67
210,Willie Cauley-Stein,3704160,24,73.00,2044.00,0.50,0.25,0.51,0.50,0.62,510.00,172.00,77.00,67.00,932.00
211,Buddy Hield,3675480,24,80.00,2024.00,0.45,0.43,0.46,0.54,0.88,307.00,155.00,85.00,22.00,1079.00
212,Will Barton,3533333,27,81.00,2683.00,0.45,0.37,0.51,0.53,0.81,409.00,331.00,82.00,52.00,1268.00
213,Noah Vonleh,3505233,22,36.00,583.33,0.45,0.31,0.50,0.49,0.61,207.33,22.67,12.67,11.33,176.00
214,Frank Ntilikina,3501120,19,78.00,1706.00,0.36,0.32,0.39,0.41,0.72,177.00,250.00,65.00,18.00,463.00
215,Nene Hilario,3477600,35,52.00,758.00,0.57,0.00,0.57,0.57,0.64,176.00,45.00,28.00,14.00,340.00
216,Zaza Pachulia,3477600,33,69.00,972.00,0.56,0.00,0.57,0.56,0.81,321.00,109.00,38.00,17.00,373.00
217,Troy Daniels,3408520,26,79.00,1622.00,0.40,0.40,0.42,0.56,0.88,127.00,48.00,26.00,5.00,703.00
218,Emmanuel Mudiay,3381480,21,42.67,830.00,0.39,0.30,0.42,0.43,0.75,101.33,137.33,27.33,7.33,368.67
219,Jamal Murray,3355320,20,81.00,2565.00,0.45,0.38,0.50,0.53,0.91,297.00,274.00,79.00,28.00,1352.00
220,Elfrid Payton,3332340,23,42.00,1205.33,0.48,0.30,0.51,0.50,0.66,182.67,262.00,55.33,14.67,531.33
221,Rajon Rondo,3300000,31,65.00,1705.00,0.47,0.33,0.53,0.52,0.54,263.00,533.00,70.00,10.00,537.00
222,Rajon Rondo,3000000,31,65.00,1705.00,0.47,0.33,0.53,0.52,0.54,263.00,533.00,70.00,10.00,537.00
223,Doug McDermott,3294994,26,54.00,1178.67,0.47,0.44,0.49,0.56,0.80,133.33,52.67,12.67,10.67,420.00
224,Jodie Meeks,3290000,30,77.00,1119.00,0.40,0.34,0.46,0.49,0.86,126.00,70.00,29.00,4.00,487.00
225,Tyreke Evans,3290000,28,52.00,1607.00,0.45,0.40,0.48,0.52,0.79,265.00,269.00,57.00,17.00,1010.00
226,Tarik Black,3290000,26,51.00,536.00,0.59,0.09,0.64,0.59,0.46,163.00,13.00,21.00,30.00,180.00
227,Anthony Tolliver,3290000,32,79.00,1757.00,0.46,0.44,0.56,0.63,0.80,241.00,90.00,32.00,21.00,703.00
229,Dennis Smith,3218280,20,69.00,2049.00,0.40,0.31,0.44,0.45,0.69,260.00,358.00,71.00,18.00,1048.00
230,Zach LaVine,3202217,22,24.00,656.00,0.38,0.34,0.41,0.44,0.81,94.00,72.00,24.00,4.00,401.00
231,Ekpe Udoh,3200000,30,63.00,810.00,0.50,0.00,0.50,0.50,0.75,150.00,53.00,43.00,74.00,162.00
232,T.J. Warren,3152931,24,65.00,2142.00,0.50,0.22,0.52,0.51,0.76,333.00,85.00,65.00,41.00,1271.00
233,Stanley Johnson,3097800,21,69.00,1894.00,0.38,0.29,0.44,0.44,0.77,252.00,112.00,95.00,14.00,599.00
234,Marquese Chriss,3073800,20,72.00,1527.00,0.42,0.30,0.51,0.48,0.61,395.00,83.00,51.00,70.00,556.00
235,Zach Collins,3057240,20,66.00,1045.00,0.40,0.31,0.46,0.46,0.64,221.00,52.00,17.00,31.00,292.00
236,James Ennis,3028410,27,48.00,1069.33,0.47,0.33,0.57,0.54,0.83,149.33,47.33,31.33,12.00,341.33
237,Tomas Satoransky,3000000,26,73.00,1643.00,0.52,0.47,0.54,0.59,0.78,233.00,286.00,52.00,15.00,524.00
238,Lucas Nogueira,2947305,25,49.00,418.00,0.61,0.26,0.72,0.64,0.68,87.00,22.00,23.00,43.00,122.00
239,Jusuf Nurkic,2947305,23,79.00,2088.00,0.51,0.00,0.51,0.51,0.63,708.00,143.00,64.00,111.00,1132.00
240,Malik Monk,2904480,19,63.00,854.00,0.36,0.34,0.39,0.46,0.84,66.00,91.00,20.00,9.00,421.00
241,Frank Kaminsky,2847600,24,79.00,1835.00,0.43,0.38,0.46,0.50,0.80,288.00,129.00,36.00,19.00,873.00
242,Jakob Poeltl,2825640,22,82.00,1524.00,0.66,0.50,0.66,0.66,0.59,393.00,57.00,39.00,100.00,567.00
243,Luke Kennard,2759280,21,73.00,1463.00,0.44,0.42,0.46,0.53,0.86,176.00,124.00,44.00,13.00,558.00
244,Justise Winslow,2705040,21,68.00,1680.00,0.42,0.38,0.44,0.47,0.64,370.00,148.00,54.00,33.00,529.00
245,Michael Carter-Williams,2700000,26,52.00,835.00,0.33,0.24,0.37,0.36,0.82,138.00,116.00,44.00,23.00,239.00
246,Thon Maker,2684160,20,74.00,1238.00,0.41,0.30,0.47,0.46,0.70,225.00,46.00,38.00,53.00,356.00
247,Cedi Osman,2642857,22,61.00,672.00,0.48,0.37,0.59,0.57,0.57,120.00,41.00,22.00,3.00,238.00
248,Donovan Mitchell,2621280,21,79.00,2638.00,0.44,0.34,0.50,0.51,0.81,296.00,291.00,118.00,27.00,1616.00
249,Myles Turner,2569920,21,65.00,1836.00,0.48,0.36,0.52,0.52,0.78,417.00,87.00,38.00,118.00,828.00
250,Gary Harris,2550055,23,67.00,2304.00,0.49,0.40,0.55,0.57,0.83,176.00,194.00,122.00,15.00,1170.00
251,Domantas Sabonis,2550000,21,74.00,1810.00,0.51,0.35,0.52,0.52,0.75,572.00,151.00,40.00,32.00,861.00
252,Manu Ginobili,2500000,40,65.00,1299.00,0.43,0.33,0.51,0.50,0.84,142.00,163.00,43.00,16.00,576.00
253,Reggie Bullock,2500000,26,62.00,1732.00,0.49,0.45,0.54,0.60,0.80,154.00,95.00,47.00,13.00,698.00
254,Richard Jefferson,2500000,37,20.00,163.00,0.44,0.29,0.50,0.48,0.57,17.00,15.00,2.00,1.00,30.00
256,Malcolm Delaney,2500000,28,54.00,1014.00,0.38,0.37,0.39,0.46,0.80,100.00,163.00,35.00,6.00,338.00
257,Bam Adebayo,2490360,20,69.00,1368.00,0.51,0.00,0.52,0.51,0.72,381.00,101.00,32.00,41.00,477.00
258,Bruno Caboclo,2451225,22,11.00,103.50,0.30,0.19,0.43,0.35,0.83,21.50,3.50,2.50,4.00,26.00
259,Trey Lyles,2441400,22,73.00,1391.00,0.49,0.38,0.56,0.57,0.71,347.00,91.00,30.00,34.00,724.00
260,Dario Saric,2422560,23,78.00,2310.00,0.45,0.39,0.50,0.54,0.86,520.00,202.00,51.00,20.00,1141.00
261,Taurean Waller-Prince,2422560,23,82.00,2464.00,0.43,0.39,0.46,0.52,0.84,389.00,214.00,85.00,42.00,1158.00
262,Rodney Hood,2386864,25,40.00,1077.33,0.43,0.37,0.47,0.51,0.85,110.00,63.33,30.00,8.00,588.00
263,Justin Jackson,2365560,22,68.00,1506.00,0.44,0.31,0.55,0.51,0.72,187.00,74.00,28.00,13.00,453.00
264,Shabazz Napier,2361360,26,74.00,1535.00,0.42,0.38,0.45,0.50,0.84,170.00,150.00,81.00,14.00,644.00
265,Clint Capela,2334520,23,74.00,2034.00,0.65,0.00,0.65,0.65,0.56,802.00,68.00,58.00,137.00,1026.00
266,Arron Afflalo,2328652,32,53.00,682.00,0.40,0.39,0.41,0.49,0.85,66.00,30.00,4.00,9.00,179.00
268,Raymond Felton,2328652,33,82.00,1365.00,0.41,0.35,0.44,0.48,0.82,156.00,203.00,49.00,16.00,565.00
269,Ramon Sessions,2328652,31,18.67,261.33,0.36,0.30,0.37,0.39,0.78,25.33,51.33,9.33,1.33,90.67
271,Jarrett Jack,2328652,34,62.00,1548.00,0.43,0.29,0.46,0.46,0.84,191.00,348.00,35.00,4.00,466.00
272,Jason Terry,2328652,40,51.00,814.00,0.38,0.35,0.49,0.51,0.89,48.00,59.00,42.00,13.00,166.00
273,Udonis Haslem,2328652,37,14.00,72.00,0.20,0.13,0.29,0.23,0.50,10.00,5.00,0.00,2.00,8.00
274,David West,2328652,37,73.00,999.00,0.57,0.38,0.58,0.58,0.76,238.00,138.00,47.00,75.00,495.00
275,Jose Calderon,2328652,36,57.00,914.00,0.50,0.46,0.55,0.62,0.80,84.00,117.00,27.00,2.00,255.00
276,Devin Booker,2319360,21,54.00,1865.00,0.43,0.38,0.46,0.50,0.88,244.00,253.00,47.00,14.00,1346.00
277,Dante Cunningham,2300000,30,48.67,1041.33,0.45,0.35,0.54,0.53,0.61,198.67,32.00,26.00,20.00,278.00
278,Guerschon Yabusele,2247480,22,33.00,235.00,0.43,0.32,0.58,0.53,0.68,52.00,16.00,4.00,5.00,79.00
279,Cameron Payne,2203440,23,25.00,582.00,0.41,0.39,0.42,0.49,0.75,69.00,113.00,26.00,9.00,221.00
280,Denzel Valentine,2186400,24,77.00,2095.00,0.42,0.39,0.45,0.52,0.75,393.00,244.00,65.00,11.00,783.00
281,Kyle Anderson,2151704,24,74.00,1978.00,0.53,0.33,0.56,0.55,0.71,396.00,202.00,115.00,60.00,585.00
282,D.J. Wilson,2135040,21,22.00,71.00,0.56,0.40,0.64,0.63,0.50,10.00,3.00,3.00,1.00,21.00
283,Derrick Rose,2116955,29,16.67,280.00,0.43,0.22,0.47,0.45,0.91,23.33,24.67,4.67,2.67,139.33
284,Marreese Speights,2116955,30,52.00,675.00,0.40,0.37,0.45,0.52,0.73,133.00,40.00,8.00,22.00,402.00
285,Michael Beasley,2116955,29,74.00,1653.00,0.51,0.40,0.52,0.53,0.78,414.00,123.00,36.00,43.00,976.00
286,Aaron Brooks,2116955,33,32.00,189.00,0.41,0.36,0.45,0.49,0.73,17.00,20.00,6.00,0.00,75.00
287,Luc Mbah a Moute,2116955,31,61.00,1564.00,0.48,0.36,0.60,0.57,0.68,186.00,55.00,72.00,25.00,460.00
288,JaVale McGee,2116955,30,65.00,615.00,0.62,0.00,0.64,0.62,0.73,169.00,33.00,21.00,57.00,310.00
289,Jeff Green,2116955,31,78.00,1828.00,0.48,0.31,0.54,0.52,0.87,246.00,99.00,41.00,34.00,846.00
290,Tony Allen,2116955,36,22.00,273.00,0.48,0.33,0.51,0.51,0.52,47.00,9.00,11.00,3.00,103.00
291,Damien Wilkins,2116955,38,19.00,152.00,0.33,0.22,0.43,0.39,0.75,16.00,9.00,2.00,1.00,33.00
292,Omri Casspi,2106470,29,53.00,740.00,0.58,0.46,0.60,0.60,0.73,200.00,51.00,18.00,19.00,300.00
293,Mario Chalmers,2106407,31,66.00,1421.00,0.38,0.28,0.46,0.44,0.86,157.00,197.00,79.00,14.00,507.00
294,Darius Miller,2100000,27,82.00,1944.00,0.44,0.41,0.54,0.59,0.87,164.00,111.00,28.00,17.00,637.00
295,Kelly Oubre,2093040,22,81.00,2231.00,0.40,0.34,0.46,0.48,0.82,363.00,98.00,80.00,35.00,953.00
296,Juan Hernangomez,2076840,22,25.00,277.00,0.39,0.28,0.60,0.48,0.83,54.00,12.00,6.00,3.00,82.00
297,T.J. Leaf,2028360,20,53.00,459.00,0.47,0.43,0.49,0.54,0.63,82.00,9.00,5.00,4.00,156.00
298,Tim Frazier,2000000,27,59.00,838.00,0.40,0.30,0.44,0.45,0.77,115.00,194.00,47.00,7.00,176.00
299,Terry Rozier,1988520,23,80.00,2068.00,0.40,0.38,0.41,0.49,0.77,376.00,232.00,80.00,19.00,900.00
300,Luke Babbitt,1974159,28,43.50,642.50,0.45,0.41,0.53,0.59,0.77,88.50,28.50,7.50,6.00,242.50
301,John Collins,1936920,20,74.00,1785.00,0.58,0.34,0.60,0.59,0.72,541.00,98.00,47.00,80.00,777.00
302,Rashad Vaughn,1889040,21,25.00,192.50,0.42,0.37,0.50,0.54,0.67,19.00,12.50,4.50,3.00,61.50
303,Rashad Vaughn,166258,21,25.00,192.50,0.42,0.37,0.50,0.54,0.67,19.00,12.50,4.50,3.00,61.50
304,Wade Baldwin,1874400,21,7.00,80.00,0.67,0.80,0.63,0.76,0.60,8.00,5.00,2.00,1.00,38.00
306,Sam Dekker,1794600,23,73.00,883.00,0.49,0.17,0.59,0.51,0.66,174.00,38.00,24.00,9.00,303.00
307,Terrance Ferguson,1785000,19,61.00,763.00,0.41,0.33,0.61,0.53,0.90,47.00,19.00,24.00,10.00,189.00
308,Henry Ellenson,1780800,21,38.00,329.00,0.36,0.33,0.38,0.43,0.86,81.00,20.00,5.00,0.00,151.00
309,Jerian Grant,1713840,25,74.00,1686.00,0.42,0.33,0.47,0.48,0.75,172.00,342.00,63.00,8.00,619.00
310,Jarrett Allen,1713720,19,72.00,1441.00,0.59,0.33,0.60,0.60,0.78,388.00,49.00,28.00,88.00,587.00
311,Mike Scott,1709538,29,76.00,1406.00,0.53,0.41,0.58,0.59,0.66,247.00,80.00,23.00,10.00,668.00
312,Tyler Zeller,1709538,28,44.00,739.33,0.57,0.25,0.58,0.58,0.76,203.33,31.33,10.00,23.33,294.00
313,Quincy Acy,1709538,27,70.00,1359.00,0.36,0.35,0.38,0.50,0.82,257.00,57.00,33.00,29.00,411.00
314,Malik Beasley,1700640,21,62.00,583.00,0.41,0.34,0.47,0.49,0.67,71.00,31.00,15.00,7.00,196.00
315,Delon Wright,1645200,25,69.00,1433.00,0.47,0.37,0.52,0.53,0.83,198.00,200.00,72.00,33.00,555.00
316,OG Anunoby,1645200,20,74.00,1481.00,0.47,0.37,0.60,0.58,0.63,184.00,55.00,52.00,14.00,438.00
317,Caris LeVert,1632480,23,71.00,1864.00,0.44,0.35,0.48,0.49,0.71,260.00,299.00,82.00,22.00,858.00
318,Justin Anderson,1579440,24,38.00,519.00,0.43,0.33,0.54,0.52,0.74,93.00,25.00,15.00,7.00,236.00
319,Jeff Withey,1577320,27,9.00,39.00,0.38,0.20,0.67,0.44,0.50,10.00,0.00,0.00,3.00,15.00
320,Ian Clark,1577230,26,74.00,1455.00,0.45,0.32,0.53,0.51,0.76,127.00,110.00,33.00,10.00,551.00
321,Shabazz Muhammad,1577230,25,28.67,278.67,0.46,0.28,0.49,0.48,0.80,50.67,9.33,6.00,2.00,142.67
322,Willie Reed,1577230,27,40.50,423.50,0.67,0.50,0.67,0.67,0.58,120.50,9.50,9.00,22.00,194.00
323,DeAndre Liggins,1577230,29,44.50,602.00,0.36,0.33,0.39,0.45,0.40,62.00,37.50,32.00,12.00,79.00
326,DeAndre' Bembry,1567200,23,26.00,455.00,0.41,0.37,0.43,0.46,0.58,72.00,49.00,21.00,12.00,136.00
327,Joffrey Lauvergne,1524305,26,55.00,534.00,0.52,0.00,0.53,0.52,0.64,171.00,41.00,9.00,3.00,226.00
328,Jerami Grant,1524305,23,81.00,1647.00,0.54,0.29,0.61,0.57,0.68,319.00,57.00,31.00,77.00,682.00
329,Johnny O'Bryant,1524305,24,36.00,379.00,0.40,0.33,0.42,0.44,0.84,93.00,14.00,9.00,6.00,171.00
330,Tyler Ennis,1524305,23,54.00,683.00,0.42,0.25,0.48,0.45,0.76,95.00,105.00,30.00,10.00,224.00
331,Sean Kilpatrick,1524305,28,20.80,256.00,0.37,0.34,0.42,0.45,0.92,34.80,18.40,5.20,2.00,132.00
334,Joe Harris,1524305,26,78.00,1975.00,0.49,0.42,0.59,0.61,0.83,260.00,128.00,35.00,20.00,846.00
335,Spencer Dinwiddie,1524305,24,80.00,2306.00,0.39,0.33,0.45,0.47,0.81,259.00,524.00,68.00,23.00,1007.00
336,Shane Larkin,1524305,25,54.00,775.00,0.38,0.36,0.40,0.45,0.87,92.00,98.00,29.00,2.00,231.00
337,Glenn Robinson,1524305,24,23.00,338.00,0.42,0.41,0.43,0.51,0.82,37.00,17.00,13.00,1.00,95.00
338,Bobby Brown,1524305,33,20.00,115.00,0.33,0.28,0.44,0.42,0.50,7.00,11.00,4.00,0.00,50.00
339,Bobby Portis,1516320,22,73.00,1643.00,0.47,0.36,0.51,0.52,0.77,498.00,123.00,50.00,23.00,964.00
340,Malachi Richardson,1504560,22,25.50,321.50,0.33,0.30,0.35,0.40,0.77,33.50,13.00,10.00,1.00,88.00
341,Norman Powell,1471382,24,70.00,1062.00,0.40,0.29,0.52,0.47,0.82,119.00,89.00,37.00,16.00,385.00
342,Josh Richardson,1471382,24,81.00,2689.00,0.45,0.38,0.50,0.52,0.85,285.00,231.00,121.00,75.00,1045.00
343,Rondae Hollis-Jefferson,1471382,23,68.00,1920.00,0.47,0.24,0.49,0.48,0.79,459.00,167.00,65.00,48.00,946.00
344,Tyus Jones,1471382,21,82.00,1467.00,0.46,0.35,0.53,0.53,0.88,132.00,232.00,95.00,6.00,416.00
345,Jarell Martin,1471382,23,73.00,1661.00,0.45,0.35,0.47,0.48,0.77,318.00,73.00,39.00,49.00,565.00
346,Larry Nance,1471382,25,44.00,947.33,0.58,0.18,0.59,0.58,0.67,301.33,54.67,58.67,25.33,382.00
347,Troy Williams,1471382,23,14.00,204.67,0.39,0.21,0.54,0.43,0.57,42.00,10.67,13.33,2.67,88.67
348,Troy Williams,148318,23,14.00,204.67,0.39,0.21,0.54,0.43,0.57,42.00,10.67,13.33,2.67,88.67
349,Chris McCullough,1471382,22,19.00,90.00,0.43,0.13,0.50,0.44,0.64,25.00,4.00,0.00,5.00,46.00
350,Raul Neto,1471382,25,41.00,498.00,0.46,0.40,0.48,0.52,0.74,49.00,75.00,13.00,4.00,183.00
351,Pat Connaughton,1471382,25,82.00,1488.00,0.42,0.35,0.51,0.52,0.84,161.00,91.00,23.00,22.00,441.00
352,Richaun Holmes,1471382,24,48.00,746.00,0.56,0.13,0.62,0.57,0.66,211.00,61.00,20.00,29.00,311.00
353,T.J. McConnell,1471382,25,76.00,1706.00,0.50,0.44,0.51,0.53,0.80,226.00,303.00,92.00,13.00,478.00
354,Josh Huestis,1471382,26,69.00,982.00,0.33,0.29,0.40,0.42,0.30,161.00,20.00,15.00,43.00,159.00
355,Jordan Mickey,1471382,23,23.00,284.00,0.48,0.13,0.56,0.49,0.68,81.00,9.00,6.00,10.00,93.00
356,Montrezl Harrell,1471382,24,76.00,1293.00,0.64,0.14,0.64,0.64,0.63,306.00,74.00,36.00,52.00,836.00
357,Joe Young,1471382,25,53.00,558.00,0.43,0.38,0.46,0.50,0.76,63.00,39.00,14.00,1.00,207.00
358,Kevon Looney,1471382,21,66.00,910.00,0.58,0.20,0.59,0.58,0.55,215.00,42.00,34.00,56.00,267.00
359,Nikola Jokic,1471382,22,75.00,2443.00,0.50,0.40,0.54,0.55,0.85,803.00,458.00,90.00,61.00,1385.00
360,Salah Mejri,1471382,31,61.00,729.00,0.64,0.00,0.66,0.64,0.58,246.00,35.00,22.00,67.00,214.00
361,Caleb Swanigan,1465920,20,27.00,189.00,0.40,0.13,0.44,0.41,0.67,54.00,14.00,5.00,3.00,61.00
362,Furkan Korkmaz,1465920,20,14.00,80.00,0.29,0.29,0.27,0.38,0.50,11.00,4.00,2.00,1.00,23.00
363,Willy Hernangomez,1435750,23,32.00,330.00,0.56,0.40,0.57,0.57,0.61,122.00,22.00,12.00,10.67,164.00
364,Kyle Kuzma,1423560,22,77.00,2401.00,0.45,0.37,0.51,0.53,0.71,483.00,141.00,49.00,34.00,1242.00
365,Tony Bradley,1414920,20,9.00,29.00,0.27,0.00,0.30,0.27,1.00,11.00,1.00,0.00,0.00,8.00
366,Derrick White,1404600,23,17.00,139.00,0.49,0.62,0.40,0.61,0.70,26.00,9.00,4.00,3.00,54.00
367,Josh Hart,1394520,22,63.00,1461.00,0.47,0.40,0.55,0.57,0.70,263.00,80.00,47.00,16.00,496.00
368,Timothe Luwawu-Cabarrot,1386600,22,52.00,807.00,0.38,0.34,0.43,0.47,0.79,72.00,54.00,12.00,5.00,299.00
369,Brice Johnson,1331160,23,13.50,68.00,0.56,0.00,0.59,0.56,0.80,22.00,1.50,7.50,4.00,29.50
370,Pascal Siakam,1312611,23,81.00,1679.00,0.51,0.22,0.61,0.54,0.62,364.00,159.00,62.00,42.00,589.00
371,Dejounte Murray,1312611,21,81.00,1743.00,0.44,0.27,0.45,0.45,0.71,459.00,231.00,97.00,31.00,654.00
372,Skal Labissiere,1312611,21,60.00,1240.00,0.45,0.35,0.46,0.47,0.81,288.00,72.00,25.00,49.00,523.00
373,Wayne Selden,1312611,23,35.00,692.00,0.43,0.40,0.46,0.52,0.75,56.00,66.00,18.00,5.00,325.00
374,Joel Bolomboy,1312611,24,6.00,38.00,0.50,0.00,0.60,0.50,0.50,10.00,0.00,2.00,0.00,9.00
376,Davis Bertans,1312611,25,77.00,1086.00,0.44,0.37,0.59,0.57,0.82,153.00,74.00,26.00,28.00,456.00
377,Bryn Forbes,1312611,24,80.00,1517.00,0.42,0.39,0.45,0.51,0.67,110.00,80.00,28.00,2.00,555.00
378,Jake Layman,1312611,23,35.00,160.00,0.30,0.20,0.37,0.34,0.67,16.00,11.00,6.00,4.00,34.00
379,Tyler Ulis,1312611,22,71.00,1658.00,0.39,0.29,0.43,0.43,0.83,128.00,311.00,70.00,7.00,554.00
380,Marcus Georges-Hunt,1312611,23,42.00,224.00,0.44,0.27,0.52,0.48,0.62,16.00,7.00,6.00,0.00,59.00
381,Malcolm Brogdon,1312611,25,48.00,1436.00,0.49,0.39,0.53,0.55,0.88,156.00,152.00,41.00,13.00,625.00
382,Rodney McGruder,1312611,26,18.00,299.00,0.49,0.43,0.55,0.60,0.50,32.00,17.00,8.00,3.00,91.00
383,Andrew Harrison,1312611,23,56.00,1326.00,0.42,0.33,0.47,0.48,0.78,131.00,177.00,38.00,26.00,533.00
384,Ivica Zubac,1312611,20,43.00,410.00,0.50,0.00,0.50,0.50,0.77,123.00,25.00,8.00,15.00,161.00
385,Patrick McCaw,1312611,22,57.00,961.00,0.41,0.24,0.50,0.45,0.77,82.00,81.00,43.00,10.00,229.00
386,Dorian Finney-Smith,1312611,24,21.00,448.00,0.38,0.30,0.48,0.46,0.73,75.00,26.00,10.00,4.00,123.00
387,Yogi Ferrell,1312611,24,82.00,2282.00,0.43,0.37,0.48,0.52,0.80,249.00,201.00,64.00,9.00,838.00
388,Treveon Graham,1312611,24,63.00,1050.00,0.43,0.41,0.45,0.53,0.70,121.00,59.00,33.00,2.00,273.00
389,David Nwaba,1312611,25,70.00,1646.00,0.48,0.35,0.50,0.50,0.66,326.00,104.00,59.00,29.00,555.00
390,Paul Zipser,1312611,23,54.00,824.00,0.35,0.34,0.36,0.43,0.76,131.00,46.00,20.00,15.00,218.00
391,Isaiah Whitehead,1312611,22,16.00,180.00,0.47,0.39,0.49,0.51,0.68,26.00,20.00,8.00,2.00,100.00
392,Okaro White,1312611,25,6.00,80.00,0.44,0.36,0.60,0.56,0.67,11.00,2.00,1.00,1.00,20.00
393,Isaiah Taylor,1312611,23,67.00,1167.00,0.42,0.25,0.46,0.44,0.70,94.00,206.00,34.00,10.00,445.00
394,Kay Felder,1312611,22,15.00,137.00,0.30,0.22,0.33,0.33,0.92,16.00,20.00,3.00,1.00,56.00
395,Fred VanVleet,1312611,23,76.00,1520.00,0.43,0.41,0.44,0.53,0.83,184.00,243.00,68.00,19.00,656.00
396,Derrick Jones,1312611,20,13.33,163.33,0.43,0.12,0.67,0.45,0.70,25.33,6.00,2.67,8.67,40.67
397,Semi Ojeleye,1291892,23,73.00,1150.00,0.35,0.32,0.40,0.45,0.61,161.00,20.00,21.00,4.00,195.00
398,Frank Mason,1184385,23,52.00,984.00,0.38,0.36,0.38,0.42,0.82,130.00,147.00,34.00,10.00,413.00
399,Abdel Nader,1167333,24,48.00,522.00,0.34,0.35,0.32,0.41,0.59,71.00,26.00,15.00,10.00,146.00
400,Damyean Dotson,1100000,23,44.00,474.00,0.45,0.32,0.54,0.52,0.70,84.00,31.00,12.00,2.00,182.00
401,Isaiah Canaan,1069308,26,19.50,420.00,0.38,0.33,0.43,0.46,0.90,44.50,76.00,16.00,1.00,172.00
404,Wesley Iwundu,1050000,23,62.00,1020.00,0.43,0.20,0.49,0.45,0.72,137.00,57.00,33.00,12.00,229.00
405,Gerald Green,947248,32,41.00,929.00,0.41,0.37,0.50,0.54,0.85,133.00,25.00,24.00,15.00,497.00
406,Jordan Bell,815615,23,57.00,809.00,0.63,0.00,0.64,0.63,0.68,207.00,102.00,35.00,56.00,262.00
407,Sterling Brown,815615,22,54.00,776.00,0.40,0.35,0.44,0.48,0.88,143.00,25.00,31.00,13.00,217.00
408,Dillon Brooks,815615,22,82.00,2350.00,0.44,0.36,0.48,0.50,0.75,257.00,135.00,73.00,17.00,898.00
409,Jawun Evans,815615,21,48.00,778.00,0.35,0.28,0.37,0.38,0.78,84.00,100.00,36.00,6.00,231.00
410,Sindarius Thornwell,815615,23,73.00,1156.00,0.43,0.38,0.45,0.48,0.67,140.00,68.00,48.00,25.00,282.00
411,Dwayne Bacon,815615,22,53.00,713.00,0.38,0.26,0.41,0.40,0.80,124.00,38.00,16.00,2.00,175.00
412,Tyler Dorsey,815615,21,56.00,974.00,0.38,0.36,0.39,0.47,0.71,130.00,79.00,17.00,5.00,405.00
413,Davon Reed,815615,22,21.00,242.00,0.29,0.29,0.29,0.36,0.67,39.00,13.00,10.00,2.00,63.00
414,Royce O'Neale,815615,24,69.00,1150.00,0.42,0.36,0.47,0.50,0.80,236.00,95.00,36.00,16.00,343.00
415,Alfonzo McKinnie,815615,25,14.00,53.00,0.53,0.33,0.83,0.63,0.67,7.00,1.00,1.00,1.00,21.00
416,Brandon Paul,815615,26,64.00,576.00,0.43,0.28,0.55,0.49,0.51,68.00,37.00,25.00,7.00,147.00
417,Thomas Bryant,815615,20,15.00,72.00,0.38,0.10,0.64,0.41,0.56,17.00,6.00,1.00,2.00,22.00
418,Zhou Qi,815615,22,18.00,124.00,0.19,0.11,0.31,0.22,0.67,22.00,2.00,2.00,14.00,22.00
419,Maxi Kleber,815615,26,72.00,1206.00,0.49,0.31,0.61,0.55,0.75,234.00,51.00,26.00,47.00,386.00
420,Daniel Theis,815615,25,63.00,936.00,0.54,0.31,0.62,0.58,0.75,274.00,56.00,30.00,48.00,331.00
