,player_name,salary
192,Thabo Sefolosha,5250000.0
193,Jason Smith,5225000.0
194,Ben McLemore,5200000.0
195,Patrick Patterson,5192000.0
196,Nick Young,5192000.0
197,Brandan Wright,5179760.0
198,Josh Jackson,5090040.0
199,Marcus Morris,5000000.0
200,Dirk Nowitzki,5000000.0
201,Greg Monroe,5000000.0
202,Mike Muscala,5000000.0
203,Jahlil Okafor,4995120.0
204,Dante Exum,4992385.0
205,Alexis Ajinca,4961798.0
206,Jaylen Brown,4956480.0
207,Jameer Nelson,4736050.0
208,Kyle Singler,4666500.0
209,Justin Holiday,4615385.0
210,De'Aaron Fox,4609200.0
211,Marcus Smart,4538020.0
212,Kristaps Porzingis,4503600.0
213,Dragan Bender,4468800.0
214,Devin Harris,4402546.0
215,Ron Baker,4328000.0
216,Jamal Crawford,4328000.0
217,Aron Baynes,4328000.0
218,Alex Len,4187599.0
219,Nerlens Noel,4187599.0
220,Jonathan Isaac,4186320.0
221,Lance Stephenson,4180000.0
222,Julius Randle,4149242.0
223,Kyle O'Quinn,4087500.0
224,Mario Hezonja,4078320.0
225,Kris Dunn,4046760.0
226,Jonas Jerebko,4000000.0
227,Nemanja Bjelica,3949999.0
228,J.J. Barea,3903900.0
229,Quincy Pondexter,3853931.0
230,Lauri Markkanen,3821640.0
231,Nik Stauskas,3807146.0
232,Willie Cauley-Stein,3704160.0
233,Buddy Hield,3675480.0
234,Will Barton,3533333.0
235,Noah Vonleh,3505233.0
236,Frank Ntilikina,3501120.0
237,Nene Hilario,3477600.0
238,Zaza Pachulia,3477600.0
239,Troy Daniels,3408520.0
240,Emmanuel Mudiay,3381480.0
241,Jamal Murray,3355320.0
242,Elfrid Payton,3332340.0
243,Rajon Rondo,3300000.0
244,Doug McDermott,3294994.0
245,Jodie Meeks,3290000.0
246,Tyreke Evans,3290000.0
247,Tarik Black,3290000.0
248,Anthony Tolliver,3290000.0
249,Dennis Smith,3218280.0
250,Zach LaVine,3202217.0
251,Ekpe Udoh,3200000.0
252,T.J. Warren,3152931.0
253,Stanley Johnson,3097800.0
254,Marquese Chriss,3073800.0
255,Zach Collins,3057240.0
256,James Ennis,3028410.0
257,Seth Curry,3028410.0
258,Mindaugas Kuzminskas,3025035.0
259,Tomas Satoransky,3000000.0
260,Rajon Rondo,3000000.0
261,Lucas Nogueira,2947305.0
262,Jusuf Nurkic,2947305.0
263,Malik Monk,2904480.0
264,Frank Kaminsky,2847600.0
265,Andrew Nicholson,2844429.0
266,Jakob Poeltl,2825640.0
267,Luke Kennard,2759280.0
268,Justise Winslow,2705040.0
269,Michael Carter-Williams,2700000.0
270,Thon Maker,2684160.0
271,Cedi Osman,2642857.0
272,Donovan Mitchell,2621280.0
273,Myles Turner,2569920.0
274,Gary Harris,2550055.0
275,Domantas Sabonis,2550000.0
276,Manu Ginobili,2500000.0
277,Reggie Bullock,2500000.0
278,Richard Jefferson,2500000.0
279,Malcolm Delaney,2500000.0
280,Bam Adebayo,2490360.0
281,Bruno Caboclo,2451225.0
282,Ronnie Price,2442455.0
283,Trey Lyles,2441400.0
284,Dario Saric,2422560.0
285,Taurean Waller-Prince,2422560.0
286,Rodney Hood,2386864.0
287,Justin Jackson,2365560.0
288,Shabazz Napier,2361360.0
289,Clint Capela,2334520.0
290,Arron Afflalo,2328652.0
291,Raymond Felton,2328652.0
292,Nick Collison,2328652.0
293,Ramon Sessions,2328652.0
294,Jarrett Jack,2328652.0
295,Jason Terry,2328652.0
296,Udonis Haslem,2328652.0
297,Dwyane Wade,2328652.0
298,David West,2328652.0
299,Richard Jefferson,2328652.0
300,Jose Calderon,2328652.0
301,Andrew Bogut,2328652.0
302,Devin Booker,2319360.0
303,Georgios Papagiannis,2301360.0
304,Dante Cunningham,2300000.0
305,Jameer Nelson,2262871.0
306,Justin Patton,2247480.0
307,Guerschon Yabusele,2247480.0
308,Monta Ellis,2245400.0
309,Cameron Payne,2203440.0
310,Denzel Valentine,2186400.0
311,Josh Smith,2183934.0
312,Kyle Anderson,2151704.0
313,D.J. Wilson,2135040.0
314,Matt Barnes,2133542.0
315,Derrick Rose,2116955.0
316,Marreese Speights,2116955.0
317,Michael Beasley,2116955.0
318,Aaron Brooks,2116955.0
319,Luc Mbah a Moute,2116955.0
320,JaVale McGee,2116955.0
321,Jeff Green,2116955.0
322,Tony Allen,2116955.0
323,Damien Wilkins,2116955.0
324,Omri Casspi,2106470.0
